posicion,nombre,edad,puntos,pais,enlace,id,altura,fecha_nacimiento,peso,lugar_nacimiento,derecha,reves
861,Jakob Schnaitter,27,20,GER,/es/players/jakob-schnaitter/sy05/overview,sy05,183cm,1996.03.07,73Kg,,Diestro,Dos Manos
858,Tyler Zink,22,20,USA,/es/players/tyler-zink/z0ak/overview,z0ak,185cm,2001.01.30,73Kg,,Diestro,Dos Manos
857,Savriyan Danilov,23,20,RUS,/es/players/savriyan-danilov/d0cf/overview,d0cf,188cm,2000.06.03,82Kg,,Diestro,Dos Manos
856,Hikaru Shiraishi,23,20,JPN,/es/players/hikaru-shiraishi/s0c2/overview,s0c2,168cm,2000.05.22,60Kg,,Diestro,Dos Manos
855,Roy Smith,24,20,USA,/es/players/roy-smith/s0dh/overview,s0dh,191cm,1998.09.13,75Kg,,Zurdo,Dos Manos
852,Davide Pontoglio,31,20,ITA,/es/players/davide-pontoglio/ph02/overview,ph02,175cm,1992.07.02,68Kg,,Diestro,Una Mano
851,Hanyi Liu,22,20,CHN,/es/players/hanyi-liu/l0bu/overview,l0bu,185cm,2001.05.23,88Kg,,Diestro,Dos Manos
850,Matteo Donati,28,20,ITA,/es/players/matteo-donati/da67/overview,da67,185cm,1995.02.28,74Kg,"Alessandria, Italy",Diestro,Dos Manos
849,Milos Raonic,32,20,CAN,/es/players/milos-raonic/r975/overview,r975,196cm,1990.12.27,98Kg,"Podgorica, Montenegro",Diestro,Dos Manos
848,Davide Galoppini,28,21,ITA,/es/players/davide-galoppini/gf20/overview,gf20,175cm,1994.10.24,70Kg,,Diestro,Dos Manos
846,Peter Bertran,27,21,DOM,/es/players/peter-bertran/bp79/overview,bp79,183cm,1996.03.05,73Kg,,Diestro,Dos Manos
845,Siddharth Vishwakarma,28,21,IND,/es/players/siddharth-vishwakarma/va48/overview,va48,191cm,1994.10.07,74Kg,,Zurdo,Dos Manos
843,Arthur Gea,18,21,FRA,/es/players/arthur-gea/g0ix/overview,g0ix,180cm,2005.01.02,72Kg,,Diestro,Dos Manos
840,Kokoro Isomura,20,22,JPN,/es/players/kokoro-isomura/i0ax/overview,i0ax,175cm,2003.01.22,72Kg,,Diestro,Dos Manos
839,Bruno Pujol Navarro,21,22,ESP,/es/players/bruno-pujol-navarro/p0cu/overview,p0cu,178cm,2001.08.27,67Kg,,Zurdo,Dos Manos
837,Johannes Ingildsen,26,22,DEN,/es/players/johannes-ingildsen/i411/overview,i411,15cm,1997.07.01,84Kg,,Diestro,Dos Manos
836,Takuya Kumasaka,24,22,JPN,/es/players/takuya-kumasaka/k0de/overview,k0de,175cm,1998.10.12,72Kg,,Diestro,Dos Manos
833,Lucas Miedler,27,22,AUT,/es/players/lucas-miedler/mo55/overview,mo55,183cm,1996.06.21,78Kg,,Diestro,Una Mano
832,Ozan Colak,19,22,USA,/es/players/ozan-colak/c0hx/overview,c0hx,185cm,2004.03.31,84Kg,,Diestro,Dos Manos
831,Filippo Moroni,22,22,ITA,/es/players/filippo-moroni/m0gp/overview,m0gp,175cm,2001.02.01,73Kg,,Diestro,Dos Manos
830,Ray Ho,23,23,TPE,/es/players/ray-ho/h0ag/overview,h0ag,188cm,2000.02.13,85Kg,,Zurdo,Dos Manos
